primary_keyword,search_intent,volume,cluster,notes
"bröllopsplanering","transactional",4400,"planering","Huvudpillar"
"bröllopsbudget","transactional",2900,"budget","Budget guide"
"bröllopsfotograf stockholm","transactional",1900,"leverantorer","Fokusera på prisnivåer och avtal"
"bröllopsfotograf göteborg","transactional",1300,"leverantorer","Fokusera på urbana miljöer och industrilokaler"
"bröllopsfotograf malmö","transactional",900,"leverantorer","Inkludera Öresund och skånska slott"
"bröllopsfotograf uppsala","transactional",500,"leverantorer","Studentstad och kyrkor; jämför paket"
"bröllopsfotograf gotland","transactional",350,"leverantorer","Destination med reseersättning och ljusförhållanden"
"bröllopsflorist stockholm","transactional",800,"leverantorer","Säsongsblommor, hållbara alternativ"
"bröllopsflorist göteborg","transactional",550,"leverantorer","Fokus på buketter och industrilokaler"
"bröllopsflorist malmö","transactional",420,"leverantorer","Skånska odlare, klimatpåverkan"
"bröllopslokal stockholm","transactional",4400,"leverantorer","Segmentera efter budget, gästkapacitet"
"bröllopslokal göteborg","transactional",2400,"leverantorer","Varvslokaler, herrgårdar"
"bröllopslokal skärgården","transactional",1600,"leverantorer","Logistik, transporter, boende"
"bröllopskoordinator göteborg","transactional",400,"leverantorer","Pris och paket i västra Sverige"
"bröllopskoordinator malmö","transactional",320,"leverantorer","Kombinera med Köpenhamn-option"
"bröllopsdekor diy","informational",1900,"inspiration","Steg-för-steg med budget och hållbarhet"
"bröllopsmeny exempel","informational",2100,"planering","Svenska säsongsmenyer, allergier"
"bröllopstal brud","informational",2600,"traditioner","Mall + retoriktips + etikett"
"toastmaster guide","informational",1800,"traditioner","Ansvar, tidslinjer, checklistor"
"hindersprövning hur lång tid","informational",2900,"juridik","Process, dokument, tidsgränser"
"äktenskapsförord mall","transactional",3600,"juridik","Skillnader bröllop vs sambor"
"bröllopsbudget excel","transactional",2400,"budget","Ladda ner mall + instruktion"
"bröllop checklista pdf","informational",3200,"checklistor","Länka till befintliga assets"
"bröllopslokal malmö","transactional",1800,"leverantorer","Fokusera på stadens lokaler och slott"
"bröllopslokal uppsala","transactional",900,"leverantorer","Universitetsmiljöer och kyrkor"
"bröllopslokal gotland","transactional",700,"leverantorer","Destination och natur"
"bröllopsfotograf norrland","transactional",500,"leverantorer","Ljusförhållanden och resor"
