category,city,name,description,start_price,website,instagram,email,notes
"fotograf","Stockholm","Light & Love Studio","Ljus storytelling-fotografering, två fotografer","32000","https://lightlovestudio.se","https://instagram.com/lightlovestudio","hello@lightlovestudio.se","Erbjuder highlightfilm add-on"
"fotograf","Göteborg","Älv & Amor Weddings","Dokumentär stil längs älvstranden","30000","https://alvamor.se","https://instagram.com/alvamorweddings","hej@alvamor.se","Reser inom Västra Götaland"
"fotograf","Malmö","Öresund Stories","Romantiska bilder i stad och kust","29000","https://oresundstories.com","https://instagram.com/oresundstories","kontakt@oresundstories.com","Två fotografer + engagemangsfoto"
"florist","Stockholm","Blomlabbet","Säsongsbaserade buketter, hållbar inriktning","8500","https://blomlabbet.se","https://instagram.com/blomlabbet","hej@blomlabbet.se","Erbjuder styling on-site"
"florist","Göteborg","Florera","Industriella koncept och torkade blommor","7500","https://florera.se","https://instagram.com/florera","hello@florera.se","Upphämtning i Gamlestaden"
"florist","Malmö","Bloom by the Sea","Öresunds-inspirerad dekor","7200","https://bloombythesea.se","https://instagram.com/bloombythesea","kontakt@bloombythesea.se","Reser till Österlen/Köpenhamn"
"lokal","Stockholm","Nacka Strand Möten","Skärgårdsvy, kapacitet 150","45000","https://nackastrand.se","","info@nackastrand.se","Cateringpaket tillgängligt"
"lokal","Göteborg","Lindholmen Event","Industrilokal vid vattnet","38000","https://lindholmenevent.se","","bokning@lindholmenevent.se","Tillgång till tekniker"
"lokal","Malmö","Lokstallarna","Historisk lokal nära stationen","40000","https://lokstallarna.com","","hej@lokstallarna.com","Eget cateringval tillåtet"
"koordinator","Stockholm","Nordic Wedding Planner","Fullservice och dagskoordination","25000","https://nordicweddingplanner.se","https://instagram.com/nordicplanner","info@nordicweddingplanner.se","Specialiserade på internationella par"
"koordinator","Göteborg","West Coast Weddings","Planering & styling","22000","https://westcoastweddings.se","https://instagram.com/westcoastweddings","kontakt@westcoastweddings.se","Erbjuder även dekorhyrning"
"koordinator","Malmö","Öresund Weddings","Koordination i Skåne & Köpenhamn","21000","https://oresundweddings.se","https://instagram.com/oresundweddings","hej@oresundweddings.se","Tvåspråkig svenska/danska"
