slug,collection,title,status,owner,dueDate,notes
"brollopsplanering-grundkurs","guides","Bröllopsplanering: Grundkurs","in-review","Redaktionen","2024-06-07","Pillar; kräver grafik"
"brollopstidslinje-12-manader","guides","Bröllopstidslinje: 12 månader","in-review","Redaktionen","2024-06-08","Behöver timeline-grafik"
"brollopsbudget-2025","budget","Bröllopsbudget 2025","in-review","Redaktionen","2024-06-09","Uppdatera priser per region"
"fragor-till-brollopsfotograf","checklistor","Frågor till bröllopsfotograf","in-review","Redaktionen","2024-06-10","Säkerställ avtalstips med jurist"
"brollopsbudget-checklista","checklistor","Bröllopsbudget: Checklista","in-review","Redaktionen","2024-06-10","Synka med kalkylark"
"svenska-vigseltraditioner","traditioner","Svenska vigseltraditioner","in-review","Redaktionen","2024-06-11","Kolla psalmer med Svenska kyrkan"
"brollopskoordinator-pris-och-guide","leverantorer","Bröllopskoordinator: Pris och guide","in-review","Redaktionen","2024-06-12","Intervjua 1–2 koordinatorer"
"brollopstrender-2025","inspiration","Bröllopstrender 2025","in-review","Redaktionen","2024-06-13","Grafik + moodboard"
"detaljer-alla-brollopsplanerare-missar","guides","Detaljer bröllopsplanerare ofta missar","in-review","Redaktionen","2024-06-14","Samla data från MSB"
"100-fragor-infor-brollopet","checklistor","100 frågor inför bröllopet","in-review","Redaktionen","2024-06-15","Kvalitetssäkra med relationscoach"
"brollopsfotograf-stockholm","leverantorer","Bröllopsfotograf Stockholm: priser och paket","in-review","Redaktionen","2024-06-16","Verifiera prisuppgifter kvartalsvis"
"brollopsfotograf-goteborg","leverantorer","Bröllopsfotograf Göteborg: priser och paket","in-review","Redaktionen","2024-06-17","Verifiera prisintervall med SFF kvartalsvis"
"brollopsfotograf-malmo","leverantorer","Bröllopsfotograf Malmö: priser och paket","in-review","Redaktionen","2024-06-18","Verifiera reseersättningar och Öresundsavgifter"
"brollopsfotograf-uppsala","leverantorer","Bröllopsfotograf Uppsala: priser och paket","in-review","Redaktionen","2024-06-18","Kontrollera reseersättningar"
"brollopsflorist-stockholm","leverantorer","Bröllopsflorist Stockholm: säsonger och pris","in-review","Redaktionen","2024-06-18","Verifiera säsongspriser kvartalsvis"
"brollopsfotograf-gotland","leverantorer","Bröllopsfotograf Gotland: destination och pris","in-review","Redaktionen","2024-06-19","Verifiera reseersättningar kvartalsvis"
"brollopslokal-stockholm","leverantorer","Bröllopslokaler i Stockholm: priser och tips","in-review","Redaktionen","2024-06-20","Kontrollera lokalpriser kvartalsvis"
